POWER_DEMAND,temp,feelslike,dew,humidity,precipprob,windgust,windspeed,sealevelpressure,cloudcover,visibility,uvindex,preciptype_rain
5993,33.9,34.0,14.4,32.4,0,37.1,22.3,1000.3,43.3,3.2,10,False
6123,34.1,35.5,18.0,41.7,0,36.7,22.3,1000.4,29.5,3.1,10,False
6127,33.2,36.2,20.7,49.2,0,36.4,20.5,1003.2,34.9,2.8,9,False
6121,31.1,33.5,20.2,54.8,100,46.4,27.7,1005.6,61.4,3.3,9,True
5371,30.0,30.5,18.1,53.2,0,22.7,9.8,1006.2,22.5,3.1,10,False
5463,32.3,33.2,17.7,44.5,0,33.5,17.9,1005.5,39.3,2.5,9,False
5426,33.4,33.4,15.1,36.2,0,28.8,11.2,1005.0,20.1,3.1,10,False
5762,33.6,34.5,16.7,39.6,0,21.2,18.4,1003.3,13.1,4.0,10,False
6057,33.8,36.1,19.6,45.3,0,33.8,20.5,1003.0,0.0,3.5,10,False
6189,33.8,36.5,20.1,45.9,0,34.2,22.3,1003.4,8.6,3.4,9,False
6520,34.6,37.8,20.2,44.4,0,25.6,14.8,1001.4,1.3,3.4,9,False
6752,35.9,38.8,19.7,41.8,0,24.8,16.6,999.7,8.2,3.4,10,False
6781,35.0,38.0,20.0,45.9,0,33.5,18.4,997.4,9.5,3.7,10,False
6714,37.2,37.0,12.6,28.4,0,26.3,18.3,997.6,0.0,3.3,10,False
6631,37.0,36.1,9.3,21.3,0,33.5,20.0,998.7,17.8,3.7,10,False
6686,37.4,35.5,7.7,18.1,0,43.2,20.6,998.9,59.0,2.9,10,False
6679,34.6,34.5,14.0,31.2,0,29.5,13.0,1000.1,24.9,3.1,10,False
6657,35.8,36.1,15.4,31.0,0,46.4,27.7,1001.9,51.7,3.3,10,False
7008,36.2,36.7,15.3,32.6,0,33.5,14.8,1001.2,1.3,3.4,10,False
6815,37.0,37.3,14.5,30.6,100,46.4,27.7,998.2,38.1,3.1,10,True
6412,34.8,34.2,13.4,30.8,100,46.4,26.9,996.1,77.0,2.4,10,True
5935,32.2,32.8,17.4,44.9,0,36.4,20.5,995.3,33.1,3.3,10,False
6052,25.7,26.6,19.7,71.2,100,59.4,40.7,998.7,80.9,3.1,9,True
4462,26.3,27.7,21.0,75.1,100,49.7,63.0,1004.5,52.8,3.5,10,True
4771,29.1,31.2,21.8,66.6,0,19.8,13.0,1005.2,41.2,2.9,10,False
5115,30.6,32.2,20.7,59.1,0,23.0,11.2,1003.0,9.4,3.2,10,False
5680,32.4,34.5,19.7,50.5,0,37.1,28.2,999.8,31.1,3.1,9,False
6133,34.4,38.3,21.0,46.6,0,29.9,13.0,998.0,51.2,3.2,9,False
5967,34.0,38.2,21.7,50.4,0,35.3,14.8,998.2,44.0,3.1,10,False
6357,31.4,34.7,21.9,59.4,100,29.2,16.6,999.6,54.9,3.2,10,True
6115,32.9,35.2,19.9,49.2,0,27.4,9.4,999.8,31.4,2.9,10,False
6091,35.0,36.0,16.9,38.7,0,27.4,11.2,1000.2,47.5,2.9,10,False
6442,35.4,35.8,15.8,32.8,0,32.8,10.8,999.8,43.8,3.1,10,False
6518,35.6,34.8,12.6,28.5,0,33.5,15.4,998.9,30.6,3.5,10,False
6543,36.5,35.8,12.2,27.0,0,21.6,16.6,999.3,26.6,3.5,10,False
6576,37.3,36.0,10.1,20.8,0,36.0,17.4,999.5,29.6,3.5,10,False
6692,36.8,35.8,11.2,23.8,0,32.4,18.0,998.7,17.5,3.4,10,False
6797,37.3,36.0,11.1,22.2,0,40.7,23.2,998.3,16.4,2.9,10,False
6824,37.3,36.0,10.5,21.5,0,49.3,29.6,998.1,16.4,2.5,10,False
7048,37.5,37.1,13.3,24.6,0,31.7,16.3,997.1,15.9,4.1,10,False
7089,37.8,37.9,14.4,26.1,0,45.0,30.4,997.8,16.3,2.8,10,False
0,37.7,37.0,11.9,22.1,0,42.5,27.4,998.0,10.8,3.2,10,False
6935,37.7,37.4,13.7,24.7,0,35.3,21.1,999.3,14.2,3.2,10,False
7202,37.6,38.4,16.2,29.2,0,37.1,16.6,1001.2,58.0,3.4,10,False
7139,35.3,37.3,18.7,38.0,0,47.2,21.4,1000.8,67.4,3.1,9,False
7227,36.1,38.8,19.5,39.3,0,40.7,23.0,999.0,25.0,3.9,9,False
7187,34.1,37.1,20.5,46.1,100,46.4,23.2,999.8,42.9,3.5,9,True
6708,29.2,32.3,22.9,70.8,100,55.4,19.3,1001.1,76.8,3.0,9,True
5325,28.9,32.6,23.7,74.1,100,22.3,18.0,1002.0,87.9,2.4,6,True
0,28.3,31.4,23.2,74.4,100,11.9,16.6,1001.4,87.1,3.7,9,True
5010,29.0,31.3,21.6,65.6,0,14.8,14.4,999.7,79.9,2.8,10,False
5273,30.2,33.0,21.6,61.2,100,37.1,18.4,999.0,68.4,3.1,9,True
5536,31.0,34.4,21.8,59.3,0,37.1,18.4,1003.5,56.1,3.2,9,False
5587,33.1,35.6,20.1,48.1,0,33.5,20.5,1004.4,24.5,3.6,10,False
5614,33.3,33.7,15.6,38.6,0,33.5,14.8,1001.9,0.0,3.1,10,False
5790,34.3,34.6,15.4,34.8,0,13.7,14.8,999.2,0.0,3.6,10,False
6700,35.0,40.1,21.9,48.0,0,33.5,24.1,1000.1,23.1,3.4,9,False
7168,35.7,42.6,23.7,51.1,0,32.0,18.4,1001.1,25.0,3.3,9,False
7528,35.9,43.8,24.4,53.1,0,35.3,16.6,998.3,54.3,3.0,9,False
7770,34.9,41.5,23.7,53.8,0,33.8,18.4,995.9,77.9,3.1,9,False
7130,27.7,31.3,25.3,88.2,100,28.1,20.5,999.3,89.9,2.3,6,True
5289,28.2,33.5,26.0,88.6,100,19.1,13.0,999.6,92.5,2.5,8,True
5651,31.0,37.3,25.0,72.9,100,18.0,15.3,997.5,85.5,7.1,9,True
5918,33.1,38.5,23.3,57.4,100,24.8,15.8,997.8,64.4,17.9,7,True
6580,33.5,42.4,25.6,64.1,100,15.8,11.2,998.3,64.0,7.6,9,True
6983,33.9,43.4,26.0,64.5,0,27.4,13.7,998.6,66.3,4.4,9,True
7279,34.4,44.2,26.0,63.0,0,33.5,18.4,1001.0,64.5,3.8,9,False
7284,34.6,43.3,25.3,59.3,0,24.8,18.4,1002.8,64.5,3.7,9,False
7411,34.9,42.0,24.1,54.8,0,22.0,14.8,1000.4,49.4,3.6,9,False
7181,32.0,39.2,24.9,66.5,0,38.9,22.3,998.8,60.9,3.2,8,True
6133,31.0,38.2,25.6,73.6,0,33.5,18.4,1000.4,64.0,3.7,3,True
6528,31.8,38.6,24.9,67.9,100,33.5,16.9,1000.9,56.6,3.3,9,True
6318,30.3,38.0,26.2,80.1,100,33.5,14.7,1000.5,66.2,2.9,9,True
6257,31.5,39.2,25.8,73.3,0,24.5,13.0,998.5,66.7,3.4,9,True
6173,32.3,39.9,25.2,67.6,100,40.7,16.6,997.9,66.0,4.7,8,True
6773,32.9,39.8,24.7,63.7,0,37.8,20.5,999.6,71.4,4.0,9,False
6681,29.4,34.5,25.4,80.4,100,40.7,22.3,1000.9,71.9,3.1,8,True
6046,29.9,36.6,26.2,81.9,100,29.9,15.3,1002.8,78.3,3.2,8,True
6847,33.2,42.9,26.3,68.8,0,18.4,13.0,1001.3,61.0,3.5,9,True
6816,32.4,42.2,26.7,73.5,100,40.7,17.1,999.9,66.0,3.4,9,True
6571,29.7,36.7,26.4,84.0,100,40.7,22.3,999.8,90.5,4.0,9,True
5821,29.0,34.3,25.8,84.0,100,23.4,11.2,1002.5,92.1,3.3,7,True
5691,29.4,37.5,26.9,86.7,100,23.0,15.4,1003.7,92.0,2.2,9,True
5485,29.7,37.4,26.8,85.6,100,33.8,18.4,1002.1,87.1,2.8,7,True
5655,30.0,37.7,26.5,82.5,100,46.4,22.5,1001.9,74.0,3.0,8,True
5770,30.0,36.9,26.0,80.3,100,37.1,21.5,1004.1,73.9,3.3,6,True
5876,29.4,35.8,25.7,81.0,0,37.4,20.5,1005.3,68.8,3.0,7,True
5897,30.0,37.4,26.1,80.0,0,27.0,16.6,1004.7,80.5,3.3,8,True
5692,28.6,34.6,26.0,86.3,100,22.0,11.2,1006.0,86.7,3.2,8,True
5479,28.0,32.5,26.0,89.2,100,29.5,11.2,1005.5,95.0,3.0,8,True
4978,28.4,34.0,26.0,86.9,100,19.1,16.6,1003.7,92.1,3.0,7,True
5070,28.7,33.6,25.6,84.3,100,14.0,11.2,1001.2,87.7,3.3,9,True
5468,29.7,36.1,25.6,79.6,0,14.0,13.0,1001.4,84.1,3.9,9,True
6089,31.0,38.2,25.9,75.9,0,12.2,29.0,1000.8,50.7,3.6,9,True
5967,30.8,38.5,26.0,76.1,100,22.3,14.8,1002.1,68.0,3.1,8,True
5814,29.4,36.6,26.4,84.6,100,20.9,18.4,1002.8,86.2,2.7,8,True
5481,27.9,33.8,26.5,92.1,100,28.4,13.0,1001.6,85.6,2.4,8,True
5578,30.2,39.1,27.2,84.5,0,20.9,11.2,999.7,74.7,2.9,9,True
5421,27.6,32.4,26.4,93.3,100,55.4,27.7,999.8,89.8,2.6,8,True
5776,30.1,36.1,25.9,79.9,0,18.0,9.4,999.5,74.6,3.0,8,False
6233,32.0,41.6,26.8,75.3,100,20.5,16.6,999.1,58.1,3.5,7,True
6388,32.5,40.6,25.6,68.9,0,27.7,15.5,997.9,52.4,4.5,9,False
6328,29.6,35.1,24.5,73.9,100,51.8,18.5,999.8,69.9,4.1,7,True
5873,31.2,37.6,25.0,71.1,0,42.5,20.5,999.8,50.5,4.2,9,True
5866,30.9,37.9,25.4,73.4,0,36.7,16.6,999.5,65.9,3.7,9,False
5792,28.9,35.6,26.4,86.6,100,18.7,11.2,1002.1,72.1,3.6,8,True
5148,29.3,35.1,25.5,81.3,0,42.8,18.4,1003.4,87.9,4.2,4,False
5096,29.1,34.4,24.8,78.7,100,58.3,37.1,1001.6,87.7,3.1,9,True
5486,29.2,33.8,24.5,76.8,0,41.0,22.3,1002.9,76.8,3.8,9,False
5808,30.3,36.6,25.3,76.1,0,17.3,11.9,1002.1,52.6,4.2,8,False
